OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
ASV434	Fungi							na	na	na	na	na	na	na	na	na
ASV436	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hyponectriaceae	Microdochium	Microdochium_bolleyi	Hyponectriaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Saprobic or neurotrophic in herbaceous and woody plant material (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV437	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phaeococcomyces	Phaeococcomyces_sp	Phaeococcomyces	13	Saprotroph	Undefined Saprotroph	NULL	Facultative Yeast	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV438	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pleospora	Pleospora_alfalfae	Pleospora	13	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV439	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Lalaria	Lalaria_carpini	Taphrinaceae	9	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	Biotrophic on plants, usually causing hyperplasia (galls, witches broom) or lesions (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV44	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiomycetes_unidentified	Exobasidiomycetes_unidentified_1	Exobasidiomycetes_unidentified_1	Exobasidiomycetes_unidentified_1	na	na	na	na	na	na	na	na	na
ASV441	Fungi							na	na	na	na	na	na	na	na	na
ASV443	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Fungi_unidentified_1_1	Fungi_unidentified_1_1	Fungi_unidentified_1_1	na	na	na	na	na	na	na	na	na
ASV444	Fungi							na	na	na	na	na	na	na	na	na
ASV445	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV447	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramichloridium	Ramichloridium_cerophilum	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV448	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	Paraphaeosphaeria	Paraphaeosphaeria_michotii	Paraphaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV449	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Bensingtonia	Bensingtonia_miscanthi	Bensingtonia	13	Saprotroph	Undefined Saprotroph	NULL	Facultative Yeast	Highly Probable	NULL	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV45	Fungi							na	na	na	na	na	na	na	na	na
ASV450	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_unidentified	Pleosporales_unidentified_1	Pleosporales_unidentified_1	na	na	na	na	na	na	na	na	na
ASV451	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV453	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_unidentified	Tremellales_unidentified_1	Tremellales_unidentified_1	na	na	na	na	na	na	na	na	na
ASV455	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Dissoconium		Dissoconium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV456	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Fungi_unidentified_1_1	Fungi_unidentified_1_1	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV46	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Epicoccum	Epicoccum_sorghi	Epicoccum	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Probable	NULL	Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV461	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella		Mycosphaerella	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV462	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_Incertae_sedis	Erythrobasidium	Sporobolomyces_yunnanensis	na	na	na	na	na	na	na	na	na
ASV466	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Dioszegia	Dioszegia_changbaiensis	na	na	na	na	na	na	na	na	na
ASV468	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_floriforme	Filobasidium	13	Saprotroph	Undefined Saprotroph	NULL	Facultative Yeast	Highly Probable	NULL	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV469	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_sp	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	NULL	Dimorphic Yeast	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV47	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Bullera	Cryptococcus_cellulolyticus	Bullera	13	Saprotroph-Symbiotroph	Epiphyte-Litter Saprotroph	NULL	Yeast	Probable	Isolated from dead leaves of Oryza sativa, Miscanthus sinensis and Sasa sp. in Japan (Nakase & Suzuki 1986; Syn. Udeniomyces puniceus); Foliar, isolated from leaves of Melostomae candidum (Nakase et al. 2004)	Nakase T, Suzuki M. 1986. Journal of General and Applied Microbiology Tokyo 32:225-240 ((https://doi.org/10.2323/jgam.32.225)); Nakase T, et al. 2004. Systematic and Applied Microbiology 27:558-564 ((https://doi.org/10.1078/0723202041748118))
ASV471	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Rhodotorula	Rhodotorula_ingeniosa	Rhodotorula	13	Pathotroph-Saprotroph	Animal Endosymbiont-Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Yeast	Probable	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))
ASV473	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Lalaria	Lalaria_inositophila	Taphrinaceae	9	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	Biotrophic on plants, usually causing hyperplasia (galls, witches broom) or lesions (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV476	Fungi	Ascomycota	Dothideomycetes	Pleosporales				na	na	na	na	na	na	na	na	na
ASV477	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago		Ustilago	13	Pathotroph	Plant Pathogen	NULL	Facultative Yeast-Smut	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV478	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Tetraploa	Tetraploa_aristata	Tetraploa	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV48	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella		Mycosphaerella	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV480	Fungi	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces		Spizellomyces	13	Pathotroph-Saprotroph	Plant Pathogen-Undefined Parasite-Undefined Saprotroph	NULL	Microfungus	Probable	Pollen degrader; Common in the soil and also as parasites of a range of soil organisms and plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV481	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_nyssicola	Mycosphaerella	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV482	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella	Mycosphaerella	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV483	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_Incertae_sedis	Strelitziana	Strelitziana_mali	Strelitziana	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV486	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hyponectriaceae	Microdochium	Microdochium_bolleyi	Hyponectriaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Saprobic or neurotrophic in herbaceous and woody plant material (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV487	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botryotinia	Botrytis_caroliniana	Botryotinia	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV488	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV49	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina_chartarum	Leptosphaerulina	13	Symbiotroph	Lichenized	NULL	Thallus	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
ASV491	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma		Lophiostoma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV492	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Kockovaella		Kockovaella	13	Symbiotroph	Epiphyte	NULL	Yeast	Probable	Foliar, isolated from a plant sample collected in a tropical rain forest in Thailand.	Fungsin B, et al. 2002. International Journal of Systematic and Evolutionary Microbiology 52:281-284 ((https://doi.org/10.1099/00207713-52-1-281))
ASV493	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Schizothyriaceae	Zygophiala	Zygophiala_sp	Zygophiala	13	Pathotroph	NULL	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV494	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma_fuckelii	Lophiostoma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV496	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae			Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV497	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_unidentified	Pleosporales_unidentified_1	Pleosporales_unidentified_1	na	na	na	na	na	na	na	na	na
ASV498	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Kurtzmanomyces		Chionosphaeraceae	9	Pathotroph-Saprotroph	Fungal Parasite-Undefined Saprotroph	NULL	Microfungus	Possible	Species appear to be mycoparasitic, associated with fungi of bark beetle galleries, wood-inhabiting Xylariaceae or lichens. Others are found erumpent from bark or decaying wood and may be sabrobic (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV499	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp	Phaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV50	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dothideomycetes_unidentified_1	Dothideomycetes_unidentified_1	Pleosporaceae	9	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV503	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Cochliobolus	Cochliobolus_intermedius	Cochliobolus	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV506	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	Paraphaeosphaeria	Paraphaeosphaeria_michotii	Paraphaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV507	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Pestalotiopsis	Pestalotiopsis_aquatica	Pestalotiopsis	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV509	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Cryptococcus	Cryptococcus_taibaiensis	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	NULL	Dimorphic Yeast	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV51	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_oryzae	Phaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV510	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Sphaerulina	Sphaerulina_pseudovirgaureae	Sphaerulina	13	Symbiotroph	Lichenized	NULL	Thallus	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
ASV511	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae			Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV513	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma_tsukubaensis	Ustilaginaceae	9	Pathotroph	Plant Pathogen	NULL	Facultative Yeast-Smut	Probable	Biotrophic in living tissue of Gramineae and Cyperaceae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV515	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriales_Incertae_sedis	Khuskia	Khuskia	Khuskia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV516	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV52	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_sp	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	NULL	Microfungus	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV520	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola	Leptosphaeriaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Probable	Saprobic or weakly necrotrophic on stems or leaves (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV522	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_Incertae_sedis	Dinemasporium	Dinemasporium_strigosum	Dinemasporium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV523	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV524	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV525	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae_sedis	Glomerellaceae	Glomerella		Glomerella	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV527	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina_confusa	Taphrina	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV528	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Lalaria	Lalaria_inositophila	Taphrinaceae	9	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	Biotrophic on plants, usually causing hyperplasia (galls, witches broom) or lesions (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV531	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_unidentified	Helotiales_unidentified_1	Helotiales_unidentified_1	na	na	na	na	na	na	na	na	na
ASV532	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Cochliobolus	Bipolaris_spicifera	Cochliobolus	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV534	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Occultifur	Occultifur_externus	Occultifur	13	Pathotroph-Saprotroph	Fungal Parasite-Litter Saprotroph-Undefined Saprotroph	NULL	Yeast	Probable	NULL	Gomes FCO, et al. 2015. Antonie van Leeuwenhoek 107:597-611 ((https://doi.org/10.1007/s10482-014-0356-4)); Kurtzman CP, Robnett CJ. 2015. Antonie Van Leeuwenhoek 107:1323-1329 ((https://doi.org/10.1023/a:1001761008817)); Khunnamwong P, et al. 2017. International Journal of Systematic and Evolutionary Microbiology 67:2628-2633 ((https://doi.org/10.1099/ijsem.0.001988))
ASV536	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Rhodotorula	Rhodotorula_nothofagi	Rhodotorula	13	Pathotroph-Saprotroph	Animal Endosymbiont-Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Yeast	Probable	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))
ASV538	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV539	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botryotinia	Botrytis_caroliniana	Botryotinia	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV54	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Possible	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV540	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_kyushuense	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	NULL	Microfungus	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV542	Fungi	Basidiomycota	Agaricomycetes					na	na	na	na	na	na	na	na	na
ASV544	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV546	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriales_Incertae_sedis			na	na	na	na	na	na	na	na	na
ASV549	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dothideomycetes_unidentified_1	Dothideomycetes_unidentified_1	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV55	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp	Phaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV551	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_flavus	na	na	na	na	na	na	na	na	na
